Ticker,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,Founded,CEO Name,Gender,Salary,Date Announced as CEO
AMAT,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",3/16/95,1967,Gary Dickerson,M,"$20,399,972.00 ",9/1/13
AMCR,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",6/7/19,2019,Ron Delia,M,"$7,305,995.00 ",3/19/24
AMD,Information Technology,Semiconductors,"Santa Clara, California",3/20/17,1969,Lisa Su,F,"$30,219,921.00 ",10/8/14
AME,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/13,1930,David Zapico,M,"$13,119,641.00 ",5/1/16
AMGN,Health Care,Biotechnology,"Thousand Oaks, California",1/2/92,1980,Robert Bradway,M,"$21,399,733.00 ",5/1/12
AMP,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/05,1894,James Cracchiolo,M,"$22,847,623.00 ",9/15/05
AMT,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",11/19/07,1995,Thomas Bartlett,M,"$18,306,709.00 ",10/27/23
AMZN,Consumer Discretionary,Broadline Retail,"Seattle, Washington",11/18/05,1994,Andrew Jassy,M,"$1,298,723.00 ",2/2/21
ANET,Information Technology,Communications Equipment,"Santa Clara, California",8/28/18,2004,Jayshree Ullal,F,"$10,735,887.00 ",10/1/08
ANSS,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/17,1969,Ajei Gopal,M,"$21,872,498.00 ",1/1/17
AON,Financials,Insurance Brokers,"London, UK",4/23/96,1996,Gregory Case,M,"$19,668,985.00 ",4/1/05
AOS,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/17,1916,Kevin Wheeler,M,"$6,640,047.00 ",7/11/18
APA,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/97,1954,John Christmann,M,"$13,802,119.00 ",1/1/15
APD,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/85,1940,Seifi Ghasemi,M,"$18,483,105.00 ",6/18/24
APH,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/08,1932,Richard Adam Norwitt,M,"$13,955,683.00 ",12/13/06
APTV,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",12/24/12,1994,Kevin Clark,M,"$16,206,621.00 ",4/1/22
ARE,Real Estate,Office REITs,"Pasadena, California",3/20/17,1994,Peter Moglia,M,"$9,289,388.00 ",9/5/23
ATO,Utilities,Gas Utilities,"Dallas, Texas",2/15/19,1906,Kevin Akers,M,"$4,839,562.00 ",10/1/19
AVB,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",1/10/07,1978,Benjamin Schall,M,"$9,393,208.00 ",2/1/21
AVGO,Information Technology,Semiconductors,"Palo Alto, California",5/8/14,1961,Hock Tan,M,"$60,606,971.00 ",2/1/16
AVY,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",12/31/87,1990,Mitchell Butier,M,"$9,107,739.00 ",5/1/16
AWK,Utilities,Water Utilities,"Camden, New Jersey",3/4/16,1886,Susan Hardwick,F,"$6,720,753.00 ",2/2/22
AXON,Industrials,Aerospace & Defense,"Scottsdale, Arizona",5/4/23,1993,Patrick Smith,M,"$33,203.00 ",1/26/21
AXP,Financials,Consumer Finance,"New York City, New York",6/30/76,1850,Stephen Squeri,M,"$48,029,631.00 ",2/1/18
AZO,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",1/2/97,1979,William Rhodes,M,"$14,330,010.00 ",3/13/05
BA,Industrials,Aerospace & Defense,"Arlington, Virginia",3/4/57,1916,David Calhoun,M,"$22,480,396.00 ",1/1/20
BAC,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/76,1976,Brian Moynihan,M,"$30,177,503.00 ",3/19/24
BALL,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",10/31/84,1880,Daniel Fisher,M,"$6,839,380.00 ",4/27/22
BAX,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/72,1931,Jose Almeida,M,"$13,588,236.00 ",1/1/16
BBWI,Consumer Discretionary,Other Specialty Retail,"Columbus, Ohio",9/30/83,1963,Andrew Meslow,M,"$9,467,439.00 ",5/1/20
BBY,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/99,1966,Corie Barry,F,"$12,837,677.00 ",4/15/19
BDX,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/72,1897,Thomas Polen,M,"$16,711,230.00 ",1/1/20
BEN,Financials,Asset Management & Custody Banks,"San Mateo, California",4/30/98,1947,Jennifer Johnson,F,"$15,734,998.00 ",2/15/20
BF.B,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/82,1870,Lawson Whiting,M,"$9,651,262.00 ",1/1/19
BG,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",3/15/23,1818,Gregory Heckman,M,"$17,899,691.00 ",4/25/19
BIIB,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/03,1978,Christopher Viehbacher,M,"$30,488,593.00 ",11/10/22
BIO,Health Care,Life Sciences Tools & Services,"Hercules, California",6/22/20,1952,Norman Schwartz,M,"$7,527,985.00 ",1/1/03
BK,Financials,Asset Management & Custody Banks,"New York City, New York",3/31/95,1784,Robin Vince,M,"$11,203,469.00 ",3/1/22
BKNG,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",11/6/09,1996,Glenn Fogel,M,"$30,774,922.00 ",1/1/17
BKR,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/17,2017,Lorenzo Simonelli,M,"$16,091,588.00 ",10/2/17
BLDR,Industrials,Building Products,"Irving, Texas",12/18/23,1998,David Rush,M,"$2,460,749.00 ",11/18/22
BLK,Financials,Asset Management & Custody Banks,"New York City, New York",4/4/11,1988,Laurence Fink,M,"$32,726,109.00 ",10/1/99
BMY,Health Care,Pharmaceuticals,"New York City, New York",3/4/57,1957,Giovanni Caforio,M,"$20,053,032.00 ",11/1/23
BR,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",6/18/18,1962,Timothy Gokey,M,"$10,068,228.00 ",1/2/19
BRK.B,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/10,1839,Warren Buffett,M,"$401,589.00 ",5/10/65
BRO,Financials,Insurance Brokers,"Daytona Beach, Florida",9/20/21,1939,Powell Brown,M,"$6,741,633.00 ",7/1/09
BSX,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2/24/95,1979,Michael Mahoney,M,"$16,941,961.00 ",11/1/12
BWA,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan",12/19/11,1880,Frederic Lissalde,M,"$17,860,730.00 ",6/7/18
BX,Financials,Asset Management & Custody Banks,"New York City, New York",9/18/23,1985,Stephen Schwarzman,M,"$253,122,146.00 ",6/21/07
BXP,Real Estate,Office REITs,"Boston, Massachusetts",4/3/06,1970,Owen Thomas,M,"$13,050,788.00 ",4/15/13
C,Financials,Diversified Banks,"New York City, New York",5/31/88,1998,Jane Fraser,F,"$22,064,065.00 ",3/1/21
CAG,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/83,1919,Sean Connolly,M,"$18,720,100.00 ",2/12/15
CAH,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/97,1971,Michael Kaufmann,M,"$13,463,557.00 ",8/11/22
CARR,Industrials,Building Products,"Palm Beach Gardens, Florida",4/3/20,2020,David Gitlin,M,"$13,222,247.00 ",4/19/21
CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",3/4/57,1925,James Umpleby,M,"$20,607,600.00 ",1/1/17
CB,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/10,1985,Evan Greenberg,M,"$25,152,070.00 ",5/1/04
CBOE,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/17,1973,Edward Tilly,M,"$11,915,247.00 ",9/19/23
CBRE,Real Estate,Real Estate Services,"Dallas, Texas",11/10/06,1906,Robert Sulentic,M,"$25,912,100.00 ",5/8/12
CCI,Real Estate,Telecom Tower REITs,"Houston, Texas",3/14/12,1994,Jay Brown,M,"$12,450,777.00 ",9/26/22
CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/98,1972,Josh Weinstein,M,"$8,014,153.00 ",8/1/22
CDNS,Information Technology,Application Software,"San Jose, California",9/18/17,1988,Anirudh Devgan,M,"$32,216,034.00 ",12/15/21
CDW,Information Technology,Technology Distributors,"Vernon Hills, Illinois",9/23/19,1984,Christine Leahy,F,"$11,115,822.00 ",12/12/18
CE,Materials,Specialty Chemicals,"Irving, Texas",12/24/18,1918,Lori Ryerkerk,F,"$10,967,783.00 ",5/1/19
CEG,Utilities,Electric Utilities,"Baltimore, Maryland",2/2/22,1999,Joseph Dominguez,M,"$10,439,082.00 ",1/7/22
CF,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/08,1946,Anthony Will,M,"$14,279,027.00 ",9/16/13
CFG,Financials,Regional Banks,"Providence, Rhode Island",1/29/16,1828,Bruce Van Saun,M,"$11,703,788.00 ",10/1/13
CHD,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/15,1847,Matthew Farrell,M,"$8,375,361.00 ",1/1/16
CHRW,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/07,1905,Robert Biesterfeld,M,"$10,529,870.00 ",5/1/19
CHTR,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/16,1993,Christopher Winfrey,M,"$15,626,967.00 ",12/1/22
CI,Health Care,Health Care Services,"Bloomfield, Connecticut",6/30/76,1982,David Cordani,M,"$20,965,504.00 ",1/1/22
CINF,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/97,1950,Steven Johnston,M,"$7,596,511.00 ",4/26/11
CL,Consumer Staples,Household Products,"New York City, New York",3/4/57,1806,Noel Wallace,M,"$14,462,406.00 ",2/4/19
CLX,Consumer Staples,Household Products,"Oakland, California",3/31/69,1913,Linda Rendle,F,"$8,534,808.00 ",9/1/20
CMCSA,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",11/19/02,1963,Brian Roberts,M,"$32,069,850.00 ",5/15/04
CME,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/06,1848,Terrence Duffy,M,"$22,943,077.00 ",11/15/16
CMG,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/11,1993,Brian Niccol,M,"$17,186,154.00 ",2/13/18
CMI,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",3/31/65,1919,Jennifer Rumsey,F,"$7,133,411.00 ",9/1/20
CMS,Utilities,Multi-Utilities,"Jackson, Michigan",3/4/57,1886,Garrick Rochow,M,"$8,706,194.00 ",12/1/20
CNC,Health Care,Managed Health Care,"St. Louis, Missouri",3/30/16,1984,Sarah London,F,"$13,246,447.00 ",3/22/22
CNP,Utilities,Multi-Utilities,"Houston, Texas",7/31/85,1882,David Lesar,M,"$13,867,875.00 ",7/1/20
COF,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/98,1994,Richard Fairbank,M,"$27,605,311.00 ",7/21/94
COO,Health Care,Health Care Supplies,"San Ramon, California",9/23/16,1958,Albert White,M,"$11,735,964.00 ",5/1/18
COP,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/57,2002,Ryan Lance,M,"$19,972,339.00 ",5/1/12
COR,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",8/30/01,1985,Steven Collis,M,"$17,510,000.00 ",3/15/24
COST,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",10/1/93,1976,Craig Jelinek,M,"$9,905,070.00 ",10/18/23
CPAY,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",6/20/18,2000,Ron Clarke,M,"$3,986,998.00 ",7/1/21
CPB,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",3/4/57,1869,Mark Clouse,M,"$10,277,065.00 ",1/22/19
CPRT,Industrials,Diversified Support Services,"Dallas, Texas",7/2/18,1982,Jeffrey Liaw,M,"$30,997,606.00 ",3/11/24
CPT,Real Estate,Multi-Family Residential REITs,"Houston, Texas",4/4/22,1981,Richard Campo,M,"$6,176,567.00 ",5/15/93
CRL,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",5/14/21,1947,James Foster,M,"$13,447,872.00 ",10/11/02
CRM,Information Technology,Application Software,"San Francisco, California",9/15/08,1999,Marc Benioff,M,"$29,868,893.00 ",6/23/04
CRWD,Information Technology,Systems Software,"Austin, Texas",6/24/24,2011,George Kurtz,M,"$46,980,000.00 ",1/16/24
CSCO,Information Technology,Communications Equipment,"San Jose, California",12/1/93,1984,Charles Robbins,M,"$29,283,936.00 ",7/15/15
CSGP,Real Estate,Real Estate Services,"Washington, D.C.",9/19/22,1987,Andrew Florance,M,"$19,420,514.00 ",1/22/24
CSX,Industrials,Rail Transportation,"Jacksonville, Florida",3/4/57,1980,Joseph Hinrichs,M,"$8,348,517.00 ",8/1/22
CTAS,Industrials,Diversified Support Services,"Mason, Ohio",3/1/01,1929,Todd Schneider,M,"$7,570,256.00 ",6/1/21
CTLT,Health Care,Pharmaceuticals,"Somerset, New Jersey",9/21/20,2007,John Chiminski,M,"$12,407,517.00 ",3/1/09
CTRA,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/08,2008,Thomas Jorden,M,"$15,303,397.00 ",1/1/23
CTSH,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/06,1994,Brian Humphries,M,"$17,943,894.00 ",2/6/19
CTVA,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",6/3/19,2019,Charles Magro,M,"$14,762,075.00 ",11/1/21
CVS,Health Care,Health Care Services,"Woonsocket, Rhode Island",3/4/57,1996,Karen Lynch,F,"$21,317,055.00 ",5/30/22
CVX,Energy,Integrated Oil & Gas,"San Ramon, California",3/4/57,1879,Mike Wirth,M,"$23,573,925.00 ",2/1/18
CZR,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",3/22/21,1973,Thomas Reeg,M,"$31,349,920.00 ",1/1/19
D,Utilities,Multi-Utilities,"Richmond, Virginia",11/30/16,1983,Robert Blue,M,"$6,794,985.00 ",10/15/20
DAL,Industrials,Passenger Airlines,"Atlanta, Georgia",9/11/13,1929,Dallas Tanner,M,"$14,166,554.00 ",1/16/19
DAY,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota",9/20/21,1992,David Ossip,M,"$13,590,000.00 ",4/26/18
DD,Materials,Specialty Chemicals,"Wilmington, Delaware",4/2/19,2019,Edward Breen,M,"$25,584,297.00 ",11/12/15
DE,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",3/4/57,1837,John May,M,"$20,300,151.00 ",11/4/19
DECK,Consumer Discretionary,Footwear,"Goleta, California",3/18/24,1973,Dave Powers,M,"$10,854,934.00 ",8/1/24
DFS,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/07,1985,Roger Hochschild,M,"$10,642,075.00 ",10/1/18
DG,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",12/3/12,1939,Jeffery Owen,M,"$12,032,684.00 ",11/1/22
DGX,Health Care,Health Care Services,"Secaucus, New Jersey",12/12/02,1967,James Davis,M,"$11,883,027.00 ",11/1/22
DHI,Consumer Discretionary,Homebuilding,"Arlington, Texas",6/22/05,1978,David Auld,M,"$29,996,862.00 ",9/30/14
DHR,Health Care,Life Sciences Tools & Services,"Washington, D.C.",11/18/98,1969,Rainer Blair,M,"$20,196,027.00 ",6/1/19
DIS,Communication Services,Movies & Entertainment,"Burbank, California",6/30/76,1923,Bob Iger,M,"$31,600,000.00 ",3/13/05
DLR,Real Estate,Data Center REITs,"Austin, Texas",5/18/16,2004,Andrew Power,M,"$6,835,895.00 ",11/1/21
DLTR,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",12/19/11,1986,Michael Witynski,M,"$13,975,672.00 ",7/20/20
DOC,Real Estate,Health Care REITs,"Denver, Colorado",3/31/08,1985,Scott Brinker,M,"$5,557,084.00 ",10/6/22
DOV,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",10/31/85,1955,Richard Tobin,M,"$14,143,252.00 ",5/1/18
DOW,Materials,Commodity Chemicals,"Midland, Michigan",4/1/19,2019,Jim Fitterling,M,"$19,464,652.00 ",3/15/18
DPZ,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",5/12/20,1960,Russell Weiner,M,"$6,636,731.00 ",5/1/22
DRI,Consumer Discretionary,Restaurants,"Orlando, Florida",5/31/95,1938,Ricardo Cardenas,M,"$8,500,029.00 ",12/15/21
DTE,Utilities,Multi-Utilities,"Detroit, Michigan",3/4/57,1995,Gerardo Norcia,M,"$10,458,218.00 ",6/24/19
DUK,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/76,1904,Lynn Good,F,"$21,354,759.00 ",7/1/13
DVA,Health Care,Health Care Services,"Denver, Colorado",7/31/08,1979,Javier Rodriguez,M,"$2,984,581.00 ",3/6/14
DVN,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/00,1971,Richard Muncrief,M,"$14,524,777.00 ",5/1/14
DXCM,Health Care,Health Care Equipment,"San Diego, California",5/12/20,1999,Kevin Sayer,M,"$15,435,652.00 ",1/1/15
EA,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/02,1982,Andrew Wilson,M,"$20,659,002.00 ",9/1/13
EBAY,Consumer Discretionary,Broadline Retail,"San Jose, California",7/22/02,1995,Jamie Iannone,M,"$16,950,325.00 ",4/27/20
ECL,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1/31/89,1923,Christophe Beck,M,"$8,720,419.00 ",1/1/21
ED,Utilities,Multi-Utilities,"New York City, New York",3/4/57,1823,Timothy Cawley,M,"$9,592,297.00 ",1/1/21
EFX,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/97,1899,Mark Begor,M,"$37,245,853.00 ",4/1/18
EG,Financials,Reinsurance,"Hamilton, Bermuda",6/19/17,1973,Juan Andrade,M,"$9,106,199.00 ",8/1/19
EIX,Utilities,Electric Utilities,"Rosemead, California",3/4/57,1886,Pedro Pizarro,M,"$12,191,229.00 ",10/1/16
EL,Consumer Staples,Personal Care Products,"New York City, New York",1/5/06,1946,Fibrizio Freda,M,"$21,811,244.00 ",5/2/17
ELV,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/02,2002,Gail Boudreaux,F,"$20,931,081.00 ",11/6/17
EMN,Materials,Specialty Chemicals,"Kingsport, Tennessee",1/1/94,1920,Mark Costa,M,"$17,068,131.00 ",1/1/14
EMR,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/65,1890,Lal Karsanbhai,M,"$15,178,106.00 ",2/21/21
ENPH,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",1/7/21,2006,Badrinarayanan Kothandaraman,M,"$16,627,977.00 ",4/1/17
EOG,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/00,1999,Ezra Yacob,M,"$12,641,202.00 ",10/1/21
EPAM,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",12/14/21,1993,Arkadiy Dobkin,M,"$6,453,257.00 ",2/8/12
EQIX,Real Estate,Data Center REITs,"Redwood City, California",3/20/15,1998,Charles Meyers,M,"$22,282,928.00 ",9/12/18
EQR,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",12/3/01,1969,Mark Parrell,M,"$11,235,084.00 ",1/1/19
EQT,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",10/3/22,1888,Toby Rice,M,"$11,600,737.00 ",7/1/19
ES,Utilities,Electric Utilities,"Hartford, Connecticut",7/24/09,1966,Joseph Nolan,M,"$12,959,134.00 ",5/1/21
ESS,Real Estate,Multi-Family Residential REITs,"San Mateo, California",4/2/14,1971,Michael Schall,M,"$4,054,224.00 ",7/1/09
ETN,Industrials,Electrical Components & Equipment,"Dublin, Ireland",3/4/57,1911,Craig Arnold,M,"$14,066,041.00 ",6/1/16
ETR,Utilities,Electric Utilities,"New Orleans, Louisiana",3/4/57,1913,Leo Denault,M,"$13,207,355.00 ",7/5/13
ETSY,Consumer Discretionary,Broadline Retail,"New York City, New York",9/21/20,2005,Josh Silverman,M,"$16,461,507.00 ",1/1/20
EVRG,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/18,1909,David Campbell,M,"$6,888,316.00 ",1/1/21
EW,Health Care,Health Care Equipment,"Irvine, California",4/1/11,1958,Michael Mussallem,M,"$13,992,145.00 ",4/1/00
EXC,Utilities,Electric Utilities,"Chicago, Illinois",3/4/57,2000,Calvin Butler,M,"$6,286,091.00 ",12/31/22
EXPD,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/07,1979,Jeffrey Musser,M,"$10,833,047.00 ",12/15/13
EXPE,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",10/2/07,1996,Peter Kern,M,"$1,094,473.00 ",4/15/20
EXR,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",1/19/16,1977,Joseph Margolis,M,"$11,628,744.00 ",1/1/17
F,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",3/4/57,1903,James Farley,M,"$20,996,146.00 ",10/1/20
FANG,Energy,Oil & Gas Exploration & Production,"Midland, Texas",12/3/18,2007,Travis Stice,M,"$17,152,470.00 ",1/1/12
FAST,Industrials,Trading Companies & Distributors,"Winona, Minnesota",9/15/08,1967,Daniel Florness,M,"$5,439,610.00 ",8/14/23
FCX,Materials,Copper,"Phoenix, Arizona",7/1/11,1912,Richard Adkerson,M,"$20,521,929.00 ",12/1/03
FDS,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",12/20/21,1978,Philip Snow,M,"$6,604,998.00 ",7/1/15
FDX,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/80,1971,Rajesh Subramaniam,M,"$13,249,823.00 ",6/1/22
FE,Utilities,Electric Utilities,"Akron, Ohio",11/28/97,1997,Steven Strah,M,"$9,268,371.00 ",3/8/21
FFIV,Information Technology,Communications Equipment,"Seattle, Washington",12/20/10,1996,Francois Locoh-Donou,M,"$12,823,862.00 ",4/1/17
FI,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",4/2/01,1984,Frank Bisignano,M,"$17,822,560.00 ",7/1/20
FICO,Information Technology,Application Software,"Bozeman, Montana",3/20/23,1956,William Lansing,M,"$18,913,781.00 ",1/27/12
FIS,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",11/10/06,1968,Gary Norcross,M,"$45,321,374.00 ",1/1/15
FITB,Financials,Diversified Banks,"Cincinnati, Ohio",3/29/96,1858,Timothy Spence,M,"$8,138,659.00 ",7/15/22
FMC,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/09,1883,Mark Douglas,M,"$11,069,899.00 ",6/1/20
FOXA,Communication Services,Broadcasting,"New York City, New York",3/4/19,2019,Lachlan Murdoch,M,"$21,748,681.00 ",3/15/19
FRT,Real Estate,Retail REITs,"Rockville, Maryland",2/1/16,1962,Donald Wood,M,"$8,916,031.00 ",3/11/02
FSLR,Information Technology,Semiconductors,"Tempe, Arizona",12/19/22,1999,Mark Widmar,M,"$7,207,833.00 ",7/1/16
FTNT,Information Technology,Systems Software,"Sunnyvale, California",10/11/18,2000,Ken Xie,M,"$14,200,453.00 ",11/18/09
FTV,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",7/1/16,2016,James Lico,M,"$16,611,190.00 ",6/15/16
GD,Industrials,Aerospace & Defense,"Falls Church, Virginia",3/4/57,1899,Phebe Novakovic,F,"$21,478,167.00 ",1/1/13
GDDY,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona",6/24/24,1997,Aman Bhutani,M,"$15,880,000.00 ",8/1/19
GE,Industrials,Aerospace & Defense,"Evendale, Ohio",3/4/57,1892,Larry Culp Jr,M,"$2,000,000.00 ",4/1/18
GEHC,Health Care,Health Care Equipment,"Chicago, Illinois",1/4/23,1994,Peter Arduini,M,"$10,497,102.00 ",12/1/22
